Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
DET,2014,10,-6.50%,-7.00%,-24.60%,-24.60%,-7.50%,-7.10%
KC,2014,10,8.30%,9.60%,1.40%,0.00%,3.50%,3.90%
PIT,2014,10,17.30%,18.00%,7.60%,6.90%,-1.10%,-1.40%
NO,2014,10,13.60%,13.50%,8.30%,6.00%,1.40%,1.30%
BUF,2014,10,-14.50%,-16.10%,-14.60%,-15.80%,6.20%,5.50%
DAL,2014,10,11.40%,11.80%,3.80%,3.40%,-1.40%,-1.70%
ARI,2014,10,-10.20%,-9.80%,-13.20%,-12.50%,0.40%,0.10%
SF,2014,10,-4.30%,-4.50%,-9.70%,-9.70%,-5.00%,-5.40%
CLE,2014,10,-1.00%,-3.00%,-0.70%,-1.90%,0.20%,0.00%
SD,2014,10,11.30%,11.40%,13.70%,13.70%,-0.30%,-0.60%
ATL,2014,10,10.00%,9.10%,17.50%,17.30%,3.80%,3.70%
CIN,2014,10,-4.10%,-6.40%,4.20%,5.80%,4.30%,4.80%
NYG,2014,10,-2.10%,-1.40%,4.00%,3.60%,-1.30%,-0.50%
WAS,2014,10,-0.50%,-1.50%,3.10%,4.30%,-4.30%,-3.80%
HOU,2014,10,-4.90%,-5.40%,0.90%,0.80%,-5.70%,-5.90%
NYJ,2014,10,-15.00%,-15.10%,-0.40%,-0.40%,2.30%,2.30%
MIN,2014,10,-17.40%,-16.60%,-0.80%,-0.40%,1.80%,2.10%
CHI,2014,10,-0.30%,-2.40%,10.00%,11.10%,-5.10%,-5.00%
TEN,2014,10,-8.00%,-8.50%,8.50%,10.20%,-0.70%,-0.30%
STL,2014,10,-11.20%,-10.10%,7.50%,6.30%,-1.10%,-1.10%
CAR,2014,10,-9.90%,-11.60%,9.50%,10.70%,-1.70%,-1.50%
OAK,2014,10,-19.40%,-19.30%,4.70%,4.30%,2.20%,2.50%
JAC,2014,10,-22.10%,-21.00%,0.40%,0.00%,-3.80%,-3.30%
TB,2014,10,-21.40%,-21.10%,9.20%,9.00%,-5.30%,-5.40%
DEN,2014,11,18.50%,17.60%,-17.20%,-17.40%,-4.20%,-4.60%
GB,2014,11,22.50%,23.60%,-1.60%,-2.10%,-0.20%,-0.80%
BAL,2014,11,7.90%,7.80%,-5.70%,-6.10%,8.40%,9.40%
MIA,2014,11,8.10%,8.60%,-16.00%,-16.20%,-4.10%,-2.70%
